0x26c0f60,epoint,1,0,0,0x26c0f60_0,na,na
0x26c0f60_0,funccall,read_rcfile,1,1,0,0x26c0f60_1,0x26c0f60,na
0x26c0f60_1,funccall,start_up,35,1,0,0x26c2d60:0x26c4cf0:0x26c53d0:0x26c56f0:0x26c5a60:0x26c5b00:0x26c61e0:0x26c6320:0x26c63c0:0x26c65f0:0x26c6e60:0x26c6f00:0x26c78b0:0x26c7950:0x26c79f0:0x26c7a90:0x26c7b30:0x26c7c70:0x26c7d10:0x26c8030:0x26c8170:0x26c82b0:0x26c8350:0x26c83f0:0x26c7090:0x26c64b0:0x26c6500:0x26c57e0:0x26c5920:0x26c5510:0x26c4e30:0x26c4c50:0x26c4890:0x26c4930:0x26c2fe0,0x26c0f60_0,na
0x26c2d60,funccall,printf,1,1,0,0x26c2d60_1,0x26c0f60_1,na
0x26c2d60_1,funccall,run_autotest,34,1,0,0x26c4cf0:0x26c53d0:0x26c56f0:0x26c5a60:0x26c5b00:0x26c61e0:0x26c6320:0x26c63c0:0x26c65f0:0x26c6e60:0x26c6f00:0x26c78b0:0x26c7950:0x26c79f0:0x26c7a90:0x26c7b30:0x26c7c70:0x26c7d10:0x26c8030:0x26c8170:0x26c82b0:0x26c8350:0x26c83f0:0x26c7090:0x26c64b0:0x26c6500:0x26c57e0:0x26c5920:0x26c5510:0x26c4e30:0x26c4c50:0x26c4890:0x26c4930:0x26c2fe0,0x26c2d60,na
0x26c2fe0,funccall,think,8,51,32,0x26c53d0:0x26c5510:0x26c34e0:0x26c4390:0x26c4430:0x26c44d0:0x26c4570:0x26c45c0,0x26c8030_1:0x26c0f60_1:0x26c2d60_1:0x26c56f0_3:0x26c5a60_2:0x26c5b00:0x26c61e0_1:0x26c6320:0x26c63c0:0x26c6e60:0x26c4cf0:0x26c4c50:0x26c78b0:0x26c7950:0x26c79f0:0x26c7a90:0x26c7b30:0x26c7c70_3:0x26c7d10_1:0x26c8170_4:0x26c82b0:0x26c8350_24:0x26c83f0:0x26c7090_1:0x26c6f00:0x26c6f50:0x26c65f0:0x26c64b0:0x26c6500:0x26c5920:0x26c57e0:0x26c5100:0x26c5060_1:0x26c4e80:0x26c4930_1:0x26c4890_1:0x26c2fe0:0x26c3f30:0x26c3fd0:0x26c4070:0x26c4110:0x26c4160:0x26c39e0:0x26c3940:0x26c3800_8:0x26c3b20:0x26c4390:0x26c4430:0x26c44d0:0x26c4570:0x26c45c0,0x26c4cf0:0x26c56f0:0x26c5a60:0x26c5b00:0x26c61e0:0x26c6320:0x26c63c0:0x26c65f0:0x26c6e60:0x26c6f00:0x26c78b0:0x26c7950:0x26c79f0:0x26c7a90:0x26c7b30:0x26c7c70:0x26c7d10:0x26c8030:0x26c8170:0x26c82b0:0x26c8350:0x26c83f0:0x26c7090:0x26c64b0:0x26c6500:0x26c57e0:0x26c5920:0x26c4e30:0x26c4c50:0x26c4890:0x26c4930:0x26c2fe0
0x26c34e0,funccall,comp_to_coord,1,1,0,0x26c34e0_1,0x26c2fe0,na
0x26c34e0_1,funccall,make,1,1,0,0x26c3800,0x26c34e0,na
0x26c3800,funccall,printf,1,1,0,0x26c3800_1,0x26c34e0_1,na
0x26c3800_1,funccall,printf,1,1,0,0x26c3800_2,0x26c3800,na
0x26c3800_2,funccall,printf,1,1,0,0x26c3800_3,0x26c3800_1,na
