0x2690030,epoint,1,0,0,0x2690030_0,na,na
0x2690030_0,funccall,calloc,1,1,0,0x2690030_1,0x2690030,na
0x2690030_1,funccall,calloc,3,1,0,0x2697ea0:0x2698080:0x26980d0,0x2690030_0,na
0x2697ea0,funccall,make,1,2,0,0x2697f90,0x2690030_1:0x2697f90,na
0x2697f90,funccall,unmake,2,1,1,0x2698080:0x26980d0,0x2697ea0,0x2697ea0
0x2698080,funccall,free,1,2,0,0x2698080_1,0x2690030_1:0x2697f90,na
0x2698080_1,funccall,free,1,1,0,0x2699930,0x2698080,na
0x26980d0,funccall,pn_eval,2,2,0,0x2698170:0x26981c0,0x2690030_1:0x2697f90,na
0x2698170,funccall,free,1,1,0,0x2698170_1,0x26980d0,na
0x2698170_1,funccall,free,1,1,0,0x2699930,0x2698170,na
0x26981c0,funccall,set_proof_and_disproof_numbers,4,1,0,0x2698440:0x2698c10:0x2699480:0x26990c0,0x26980d0,na
0x2698440,funccall,select_most_proving,1,5,0,0x2698440_1,0x26981c0:0x2698620:0x2698440_2:0x2698d00:0x2698c10_3,na
0x2698440_1,funccall,develop_node,1,1,0,0x2698440_2,0x2698440,na
0x2698440_2,funccall,update_ancestors,4,1,1,0x2698c10:0x2699480:0x26990c0:0x2698620,0x2698440_1,0x2698440
0x2698620,funccall,printf,3,1,1,0x2698c10:0x2699480:0x26990c0,0x2698440_2,0x2698440
0x2698c10,funccall,make,1,5,0,0x2698c10_1,0x26981c0:0x2698620:0x2698440_2:0x2698d00:0x2698c10_3,na
0x2698c10_1,funccall,select_most_proving,1,1,0,0x2698c10_2,0x2698c10,na
0x2698c10_2,funccall,develop_node,1,1,0,0x2698c10_3,0x2698c10_1,na
0x2698c10_3,funccall,update_ancestors,3,1,2,0x2699480:0x26990c0:0x2698d00,0x2698c10_2,0x2698440:0x2698c10
0x2698d00,funccall,printf,2,1,2,0x2699480:0x26990c0,0x2698c10_3,0x2698440:0x2698c10
0x26990c0,funccall,comp_to_san,1,6,1,0x2699480,0x26981c0:0x2698620:0x2698440_2:0x2698d00:0x2698c10_3:0x26990c0,0x26990c0
0x2699480,funccall,comp_to_san,3,6,0,0x2699520:0x26995c0:0x26998e0,0x26981c0:0x2698620:0x2698440_2:0x2698d00:0x2698c10_3:0x26990c0,na
0x2699520,funccall,printf,2,1,0,0x26995c0:0x26998e0,0x2699480,na
0x26995c0,funccall,printf,1,2,0,0x26998e0,0x2699480:0x2699520,na
0x26998e0,funccall,free,1,3,0,0x26998e0_1,0x2699480:0x2699520:0x26995c0,na
0x26998e0_1,funccall,free,1,1,0,0x2699930,0x26998e0,na
0x2699930,ret,0,3,0,na,0x2698080_1:0x2698170_1:0x26998e0_1,na
