0x275a260,epoint,7,0,0,0x277be20:0x2724330:0x2777a50:0x2777f00:0x27784a0:0x2777f50:0x2777fa0,na,na
0x2724330,funccall,make,1,4,0,0x27243d0,0x275a260:0x277b920:0x27243d0:0x277a020,na
0x27243d0,funccall,unmake,6,1,1,0x277be20:0x2777a50:0x2777f00:0x27784a0:0x2777f50:0x2777fa0,0x2724330,0x2724330
0x2777a50,funccall,make,1,5,0,0x2777af0,0x275a260:0x277b920:0x27243d0:0x2777af0:0x277a020,na
0x2777af0,funccall,unmake,5,1,1,0x277be20:0x2777f00:0x27784a0:0x2777f50:0x2777fa0,0x2777a50,0x2777a50
0x2777f00,funccall,printf,1,5,0,0x27784a0,0x275a260:0x277b920:0x27243d0:0x2777af0:0x277a020,na
0x2777f50,funccall,printf,0,5,1,na,0x275a260:0x277b920:0x27243d0:0x2777af0:0x277a020,0x27784a0
0x2777fa0,funccall,printf,0,5,1,na,0x275a260:0x277b920:0x27243d0:0x2777af0:0x277a020,0x27784a0
0x27784a0,funccall,printf,12,8,0,0x277be20:0x2779030:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020:0x2778720,0x2777f00:0x2777f50:0x2777fa0:0x275a260:0x277b920:0x27243d0:0x2777af0:0x277a020,na
0x2778720,funccall,proofnumberscan,11,1,0,0x277be20:0x2779030:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020,0x27784a0,na
0x2779030,funccall,search_root,13,7,1,0x277be20:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020:0x2779260:0x27793f0:0x27798f0,0x2778720:0x27784a0:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,0x2779030
0x2779260,funccall,search_root,11,1,1,0x277be20:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020:0x27798f0,0x2779030,0x2779030
0x27793f0,funccall,search_root,11,1,1,0x277be20:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020:0x27798f0,0x2779030,0x2779030
0x27798f0,funccall,stringize_pv,11,3,1,0x277be20:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020:0x27799e0,0x2779030:0x27793f0:0x2779260,0x2779030
0x27799e0,funccall,post_thinking,10,1,1,0x277be20:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020,0x27798f0,0x2779030
0x277a020,funccall,proofnumbercheck,11,7,4,0x277be20:0x2777f50:0x2777fa0:0x277a7f0:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100,0x2778720:0x27784a0:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,0x2724330:0x2777a50:0x2777f00:0x27784a0
0x277a7f0,funccall,comp_to_san,1,8,0,0x277a7f0_1,0x2778720:0x27784a0:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,na
0x277a7f0_1,funccall,printf,8,1,0,0x277be20:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0:0x277b0b0:0x277b100,0x277a7f0,na
0x277b0b0,funccall,printf,6,9,0,0x277be20:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0,0x277a7f0_1:0x2778720:0x27784a0:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,na
0x277b100,funccall,printf,6,9,0,0x277be20:0x277b6f0:0x277b920:0x277ba10:0x277ba60:0x277bce0,0x277a7f0_1:0x2778720:0x27784a0:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,na
0x277b6f0,funccall,printf,1,11,0,0x277be20,0x277a7f0_1:0x2778720:0x27784a0:0x277b0b0:0x277b100:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,na
0x277b920,funccall,printf,3,11,4,0x277be20:0x2777f50:0x2777fa0,0x277a7f0_1:0x2778720:0x27784a0:0x277b0b0:0x277b100:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,0x2724330:0x2777a50:0x2777f00:0x27784a0
0x277ba10,funccall,printf,1,11,0,0x277ba10_1,0x277a7f0_1:0x2778720:0x27784a0:0x277b0b0:0x277b100:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,na
0x277ba10_1,funccall,printf,1,1,0,0x277be20,0x277ba10,na
0x277ba60,funccall,printf,1,11,0,0x277be20,0x277a7f0_1:0x2778720:0x27784a0:0x277b0b0:0x277b100:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,na
0x277bce0,funccall,printf,1,11,0,0x277be20,0x277a7f0_1:0x2778720:0x27784a0:0x277b0b0:0x277b100:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260,na
0x277be20,ret,0,19,0,na,0x275a260:0x277b920:0x2778720:0x27784a0:0x277b6f0:0x277a7f0_1:0x277ba10_1:0x277ba60:0x277bce0:0x277b0b0:0x277b100:0x277a020:0x2779030:0x27799e0:0x27798f0:0x27793f0:0x2779260:0x27243d0:0x2777af0,na
